Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-05-20,2016,5,20,Friday,20,2016-20,71.15,71.2,70.66,70.98,2155800,52.0,0.0014111191457528705,52.42285714285715,53.044
2016-05-23,2016,5,23,Monday,21,2016-21,71.12,71.2,70.09,70.14,2014900,51.38,-0.011834629034680133,52.32857142857143,53.013400000000004
2016-05-24,2016,5,24,Tuesday,21,2016-21,70.3,70.93,70.08,70.78,1974200,51.85,0.00912479639608077,52.223571428571425,52.99059999999999
2016-05-25,2016,5,25,Wednesday,21,2016-21,70.62,71.04,70.22,70.94,2055000,51.97,0.0022606270179506005,52.16857142857143,52.96060000000001
2016-05-26,2016,5,26,Thursday,21,2016-21,70.79,71.72,70.75,71.57,1846600,52.43,0.008880738217144746,52.184285714285714,52.931400000000004
2016-05-27,2016,5,27,Friday,21,2016-21,71.68,71.78,71.2,71.61,1373100,52.46,0.0005588456624852078,52.191428571428574,52.888400000000004
2016-05-31,2016,5,31,Tuesday,22,2016-22,71.62,72.33,71.35,72.25,3876800,52.93,0.008937263617645241,52.230000000000004,52.870599999999996
2016-06-01,2016,6,1,Wednesday,22,2016-22,71.2,71.83,71.1,71.68,1929100,53.03,0.0018170103185659592,52.26499999999999,52.852399999999996
2016-06-02,2016,6,2,Thursday,22,2016-22,71.45,71.68,70.75,71.49,2248900,52.88,-0.002650824977279087,52.26,52.841
2016-06-03,2016,6,3,Friday,22,2016-22,72.17,73.31,72.01,72.97,3157600,53.98,0.02070206098755034,52.34357142857142,52.84360000000001
2016-06-06,2016,6,6,Monday,23,2016-23,72.89,73.22,72.37,72.77,2032600,53.83,-0.0027409208278463826,52.409285714285716,52.84440000000001
2016-06-07,2016,6,7,Tuesday,23,2016-23,72.74,73.31,72.38,72.5,1911600,53.63,-0.00371014732663677,52.520714285714284,52.8452
2016-06-08,2016,6,8,Wednesday,23,2016-23,72.56,73.23,72.41,72.95,1620300,53.96,0.006207246451134907,52.73285714285714,52.830799999999996
2016-06-09,2016,6,9,Thursday,23,2016-23,72.85,73.85,72.54,73.74,1709000,54.55,0.010829052763789537,52.92,52.8266
2016-06-10,2016,6,10,Friday,23,2016-23,73.73,73.99,73.07,73.35,2357200,54.26,-0.005288861460138072,53.08142857142857,52.81120000000001
2016-06-13,2016,6,13,Monday,24,2016-24,73.5,73.96,73.3,73.39,3182900,54.29,0.0005452035236668262,53.28928571428571,52.79240000000001
2016-06-14,2016,6,14,Tuesday,24,2016-24,73.39,73.89,73.19,73.67,5939400,54.5,0.0038151882534052106,53.47857142857142,52.7896
2016-06-15,2016,6,15,Wednesday,24,2016-24,73.69,74.13,73.24,73.68,3277300,54.5,0.0001358663506298985,53.65928571428571,52.809400000000004
2016-06-16,2016,6,16,Thursday,24,2016-24,73.17,74.14,73.01,73.89,3174000,54.66,0.0028502161843202423,53.81857142857143,52.8366
2016-06-17,2016,6,17,Friday,24,2016-24,73.84,74.4,73.58,74.12,7978000,54.83,0.0031128995573448393,53.98785714285714,52.864
2016-06-20,2016,6,20,Monday,25,2016-25,74.47,74.67,73.65,74.36,4934300,55.01,0.003237793900343622,54.13642857142857,52.894000000000005
2016-06-21,2016,6,21,Tuesday,25,2016-25,74.26,74.58,73.8,74.35,2809700,55.0,-0.00013467495104857452,54.277142857142856,52.9264
2016-06-22,2016,6,22,Wednesday,25,2016-25,74.31,74.44,73.75,73.79,1795600,54.59,-0.007531785176588368,54.39928571428572,52.9454
2016-06-23,2016,6,23,Thursday,25,2016-25,73.8,73.95,73.47,73.95,1412600,54.7,0.002168299512836702,54.45071428571429,52.97280000000001
